"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Defensive Player","5221","Jaden","McDaniels","Jaden McDaniels","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=9","/betting/nba/player/jaden-mcdaniels-odds-5221","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"12500","0.0",125,"0.7","2,500.00",NA,NA,NA,"espnbet","20000","0.0",200,NA,"4,000.00",2025-12-25
"Defensive Player","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=9","/betting/nba/player/isaiah-stewart-odds-5137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","20000","0.0",200,NA,"4,000.00",2025-12-25
"Defensive Player","3297","Anthony","Davis","Anthony Davis","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=9","/betting/nba/player/anthony-davis-odds-3297","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-25
"Defensive Player","3029","Jrue","Holiday","Jrue Holiday","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=9","/betting/nba/player/jrue-holiday-odds-3029","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-25
"Defensive Player","5414","Herbert","Jones","Herbert Jones","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=9","/betting/nba/player/herbert-jones-odds-5414","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-25
"Defensive Player","3195","Kawhi","Leonard","Kawhi Leonard","LAC","https://content.rotowire.com/images/teamlogo/basketball/100LAC.png?v=9","/betting/nba/player/kawhi-leonard-odds-3195","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-25
"Defensive Player","3669","Kristaps","Porzingis","Kristaps Porzingis","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=9","/betting/nba/player/kristaps-porzingis-odds-3669","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-25
"Defensive Player","3725","Myles","Turner","Myles Turner","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=9","/betting/nba/player/myles-turner-odds-3725","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-25
"Defensive Player","6254","Donovan","Clingan","Donovan Clingan","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=9","/betting/nba/player/donovan-clingan-odds-6254","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"fanduel","30000","0.0",300,NA,"6,000.00",2025-12-25
"Defensive Player","3888","Ivica","Zubac","Ivica Zubac","LAC","https://content.rotowire.com/images/teamlogo/basketball/100LAC.png?v=9","/betting/nba/player/ivica-zubac-odds-3888","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"35000","0.0",350,"0.2","7,000.00",NA,NA,NA,"mgm","35000","0.0",350,NA,"7,000.00",2025-12-25
"Defensive Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=9","/betting/nba/player/dillon-brooks-odds-4125","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-12-25
"Defensive Player","3231","Jimmy","Butler","Jimmy Butler","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=9","/betting/nba/player/jimmy-butler-odds-3231","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2025-12-25
"Defensive Player","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=9","/betting/nba/player/cooper-flagg-odds-6548",NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-12-25
"Defensive Player","5339","Jay","Huff","Jay Huff","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=9","/betting/nba/player/jay-huff-odds-5339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2025-12-25
"Defensive Player","4384","Jaren","Jackson","Jaren Jackson","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=9","/betting/nba/player/jaren-jackson-odds-4384","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"draftkings","50000","0.0",500,NA,"10,000.00",2025-12-25
"Defensive Player","6240","Alex","Sarr","Alex Sarr","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=9","/betting/nba/player/alex-sarr-odds-6240","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-12-25
